"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2"
24472,158,"NLD","Netherlands",4,"Gelderland",107,"Voorst"," "," ","Gemeente","Municipality"
24473,158,"NLD","Netherlands",4,"Gelderland",108,"Vorden"," "," ","Gemeente","Municipality"
24474,158,"NLD","Netherlands",4,"Gelderland",109,"Wageningen"," "," ","Gemeente","Municipality"
24475,158,"NLD","Netherlands",4,"Gelderland",110,"Warnsveld"," "," ","Gemeente","Municipality"
24476,158,"NLD","Netherlands",4,"Gelderland",111,"Wehl"," "," ","Gemeente","Municipality"
24477,158,"NLD","Netherlands",4,"Gelderland",112,"West Maas en Waal"," "," ","Gemeente","Municipality"
24478,158,"NLD","Netherlands",4,"Gelderland",113,"Westervoort"," "," ","Gemeente","Municipality"
24479,158,"NLD","Netherlands",4,"Gelderland",114,"Wijchen"," "," ","Gemeente","Municipality"
24480,158,"NLD","Netherlands",4,"Gelderland",115,"Winterswijk"," "," ","Gemeente","Municipality"
24481,158,"NLD","Netherlands",4,"Gelderland",116,"Wisch"," "," ","Gemeente","Municipality"
24482,158,"NLD","Netherlands",4,"Gelderland",117,"Zaltbommel"," "," ","Gemeente","Municipality"
24483,158,"NLD","Netherlands",4,"Gelderland",118,"Zelhem"," "," ","Gemeente","Municipality"
24484,158,"NLD","Netherlands",4,"Gelderland",119,"Zevenaar"," "," ","Gemeente","Municipality"
24485,158,"NLD","Netherlands",4,"Gelderland",120,"Zutphen"," "," ","Gemeente","Municipality"
24486,158,"NLD","Netherlands",5,"Groningen",121,"Appingedam"," "," ","Gemeente","Municipality"
24487,158,"NLD","Netherlands",5,"Groningen",122,"Bedum"," "," ","Gemeente","Municipality"
24488,158,"NLD","Netherlands",5,"Groningen",123,"Bellingwedde"," "," ","Gemeente","Municipality"
24489,158,"NLD","Netherlands",5,"Groningen",124,"De Marne"," "," ","Gemeente","Municipality"
24490,158,"NLD","Netherlands",5,"Groningen",125,"Delfzijl"," "," ","Gemeente","Municipality"
24491,158,"NLD","Netherlands",5,"Groningen",126,"Eemsmond"," "," ","Gemeente","Municipality"
24492,158,"NLD","Netherlands",5,"Groningen",127,"Groningen"," "," ","Gemeente","Municipality"
24493,158,"NLD","Netherlands",5,"Groningen",128,"Grootegast"," "," ","Gemeente","Municipality"
24494,158,"NLD","Netherlands",5,"Groningen",129,"Haren"," "," ","Gemeente","Municipality"
24495,158,"NLD","Netherlands",5,"Groningen",130,"Hoogezand-Sappemeer"," "," ","Gemeente","Municipality"
