"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","NL_NAME_3","VARNAME_3","TYPE_3","ENGTYPE_3"
48646,158,"NLD","Netherlands",8,"Noord-Brabant",223,"Halderberge",0," "," "," "," "," "
48647,158,"NLD","Netherlands",8,"Noord-Brabant",224,"Heeze-Leende",0," "," "," "," "," "
48648,158,"NLD","Netherlands",8,"Noord-Brabant",225,"Helmond",0," "," "," "," "," "
48649,158,"NLD","Netherlands",8,"Noord-Brabant",226,"Heusden",0," "," "," "," "," "
48650,158,"NLD","Netherlands",8,"Noord-Brabant",227,"Hilvarenbeek",0," "," "," "," "," "
48651,158,"NLD","Netherlands",8,"Noord-Brabant",228,"Laarbeek",0," "," "," "," "," "
48652,158,"NLD","Netherlands",8,"Noord-Brabant",229,"Landerd",0," "," "," "," "," "
48653,158,"NLD","Netherlands",8,"Noord-Brabant",230,"Lith",0," "," "," "," "," "
48654,158,"NLD","Netherlands",8,"Noord-Brabant",231,"Loon op Zand",0," "," "," "," "," "
48655,158,"NLD","Netherlands",8,"Noord-Brabant",232,"Maasdonk",0," "," "," "," "," "
48656,158,"NLD","Netherlands",8,"Noord-Brabant",233,"Mierlo",0," "," "," "," "," "
48657,158,"NLD","Netherlands",8,"Noord-Brabant",234,"Mill en Sint Hubert",0," "," "," "," "," "
48658,158,"NLD","Netherlands",8,"Noord-Brabant",235,"Moerdijk",0," "," "," "," "," "
48659,158,"NLD","Netherlands",8,"Noord-Brabant",236,"Nuenen c.a.",0," "," "," "," "," "
48660,158,"NLD","Netherlands",8,"Noord-Brabant",237,"Oirschot",0," "," "," "," "," "
48661,158,"NLD","Netherlands",8,"Noord-Brabant",238,"Oisterwijk",0," "," "," "," "," "
48662,158,"NLD","Netherlands",8,"Noord-Brabant",239,"Oosterhout",0," "," "," "," "," "
48663,158,"NLD","Netherlands",8,"Noord-Brabant",240,"Oss",0," "," "," "," "," "
48664,158,"NLD","Netherlands",8,"Noord-Brabant",241,"Reusel-De Mierden",0," "," "," "," "," "
48665,158,"NLD","Netherlands",8,"Noord-Brabant",242,"Roosendaal",0," "," "," "," "," "
48666,158,"NLD","Netherlands",8,"Noord-Brabant",243,"Rucphen",0," "," "," "," "," "
48667,158,"NLD","Netherlands",8,"Noord-Brabant",244,"Schijndel",0," "," "," "," "," "
48668,158,"NLD","Netherlands",8,"Noord-Brabant",245,"Sint-Michielsgestel",0," "," "," "," "," "
48669,158,"NLD","Netherlands",8,"Noord-Brabant",246,"Sint-Oedenrode",0," "," "," "," "," "
48670,158,"NLD","Netherlands",8,"Noord-Brabant",247,"Sint Anthonis",0," "," "," "," "," "
48671,158,"NLD","Netherlands",8,"Noord-Brabant",248,"Someren",0," "," "," "," "," "
48672,158,"NLD","Netherlands",8,"Noord-Brabant",249,"Son en Breugel",0," "," "," "," "," "
48673,158,"NLD","Netherlands",8,"Noord-Brabant",250,"Steenbergen",0," "," "," "," "," "
48674,158,"NLD","Netherlands",8,"Noord-Brabant",251,"Tilburg",0," "," "," "," "," "
48675,158,"NLD","Netherlands",8,"Noord-Brabant",252,"Uden",0," "," "," "," "," "
48676,158,"NLD","Netherlands",8,"Noord-Brabant",253,"Valkenswaard",0," "," "," "," "," "
48677,158,"NLD","Netherlands",8,"Noord-Brabant",254,"Veghel",0," "," "," "," "," "
48678,158,"NLD","Netherlands",8,"Noord-Brabant",255,"Veldhoven",0," "," "," "," "," "
48679,158,"NLD","Netherlands",8,"Noord-Brabant",256,"Vught",0," "," "," "," "," "
48680,158,"NLD","Netherlands",8,"Noord-Brabant",257,"Waalre",0," "," "," "," "," "
48681,158,"NLD","Netherlands",8,"Noord-Brabant",258,"Waalwijk",0," "," "," "," "," "
48682,158,"NLD","Netherlands",8,"Noord-Brabant",259,"Werkendam",0," "," "," "," "," "
48683,158,"NLD","Netherlands",8,"Noord-Brabant",260,"Woensdrecht",0," "," "," "," "," "
48684,158,"NLD","Netherlands",8,"Noord-Brabant",261,"Woudrichem",0," "," "," "," "," "
48685,158,"NLD","Netherlands",8,"Noord-Brabant",262,"Zundert",0," "," "," "," "," "
